Chr	start	end	length	TRlength	TRcoverage	case
CM051459.1	67660668	67678687	18020	2331	12.94%	10k10k
CM051459.1	162651057	162675964	24908	3220	12.93%	10k10k
CM051459.1	350062902	350081079	18178	2346	12.91%	10k10k
CM051459.1	209360803	209376764	15962	2057	12.89%	10k10k
CM051459.1	108045638	108055836	10199	1313	12.87%	10k10k
CM051459.1	8524809	8540724	15916	2048	12.87%	10k10k
CM051459.1	13648929	13662309	13381	1721	12.86%	10k10k
CM051459.1	140309060	140422009	112950	14520	12.86%	10k10k
CM051459.1	139156542	139167366	10825	1391	12.85%	10k10k
CM051459.1	45236753	45256293	19541	2511	12.85%	10k10k
CM051459.1	52909537	52934170	24634	3164	12.84%	10k10k
CM051459.1	73138180	73150521	12342	1578	12.79%	10k10k
CM051459.1	234173306	234203237	29932	3825	12.78%	10k10k
CM051459.1	220719938	220734946	15009	1915	12.76%	10k10k
CM051459.1	284529132	284545618	16487	2100	12.74%	10k10k
CM051459.1	119267398	119400605	133208	16948	12.72%	10k10k
CM051459.1	11672039	11690594	18556	2360	12.72%	10k10k
CM051459.1	141948105	141976590	28486	3616	12.69%	10k10k
CM051459.1	321375335	321395955	20621	2617	12.69%	10k10k
CM051459.1	170500847	170536682	35836	4543	12.68%	10k10k
CM051459.1	73911755	73927530	15776	1995	12.65%	10k10k
CM051459.1	138636795	138648780	11986	1514	12.63%	10k10k
CM051459.1	311059000	311088208	29209	3684	12.61%	10k10k
CM051459.1	73466601	73481088	14488	1827	12.61%	10k10k
CM051459.1	365280028	365325443	45416	5719	12.59%	10k10k
CM051459.1	110780136	110795744	15609	1965	12.59%	10k10k
CM051459.1	162064071	162075815	11745	1475	12.56%	10k10k
CM051459.1	42973097	42985739	12643	1586	12.54%	10k10k
CM051459.1	329965491	330010315	44825	5613	12.52%	10k10k
CM051459.1	299875684	299894891	19208	2403	12.51%	10k10k
CM051459.1	120544390	120563591	19202	2402	12.51%	10k10k
CM051459.1	220407955	220430209	22255	2782	12.5%	10k10k
CM051459.1	334336150	334353597	17448	2181	12.5%	10k10k
CM051459.1	162744249	162756433	12185	1521	12.48%	10k10k
CM051459.1	340175945	340186151	10207	1274	12.48%	10k10k
CM051459.1	54609158	54626110	16953	2116	12.48%	10k10k
CM051459.1	250455502	250471811	16310	2031	12.45%	10k10k
CM051459.1	192562136	192587352	25217	3134	12.43%	10k10k
CM051459.1	1802639	1813910	11272	1400	12.42%	10k10k
CM051459.1	71309010	71329060	20051	2490	12.42%	10k10k
CM051459.1	307959666	307982910	23245	2885	12.41%	10k10k
CM051459.1	120310870	120335630	24761	3071	12.4%	10k10k
CM051459.1	371908115	371919747	11633	1440	12.38%	10k10k
CM051459.1	373962691	373974330	11640	1440	12.37%	10k10k
CM051459.1	145080095	145091878	11784	1457	12.36%	10k10k
CM051459.1	27197854	27209463	11610	1435	12.36%	10k10k
CM051459.1	241047734	241060374	12641	1562	12.36%	10k10k
CM051459.1	285510807	285531434	20628	2547	12.35%	10k10k
CM051459.1	144329176	144474858	145683	17979	12.34%	10k10k
CM051459.1	140837026	140857350	20325	2505	12.32%	10k10k
CM051459.1	183205934	183227249	21316	2623	12.31%	10k10k
CM051459.1	192382267	192397701	15435	1898	12.3%	10k10k
CM051459.1	126617668	126632497	14830	1822	12.29%	10k10k
CM051459.1	52083344	52096080	12737	1563	12.27%	10k10k
CM051459.1	76566126	76597432	31307	3835	12.25%	10k10k
CM051459.1	54552643	54562970	10328	1265	12.25%	10k10k
CM051459.1	84867751	84883747	15997	1955	12.22%	10k10k
CM051459.1	155593218	155608736	15519	1894	12.2%	10k10k
CM051459.1	360671099	360692831	21733	2652	12.2%	10k10k
CM051459.1	332940178	332955946	15769	1920	12.18%	10k10k
CM051459.1	180320469	180333349	12881	1568	12.17%	10k10k
CM051459.1	123866672	123888609	21938	2670	12.17%	10k10k
CM051459.1	292547041	292561308	14268	1736	12.17%	10k10k
CM051459.1	350278831	350372709	93879	11423	12.17%	10k10k
CM051459.1	324432189	324457969	25781	3136	12.16%	10k10k
CM051459.1	15930789	15957924	27136	3298	12.15%	10k10k
CM051459.1	366184799	366209992	25194	3061	12.15%	10k10k
CM051459.1	238248021	238260897	12877	1564	12.15%	10k10k
CM051459.1	299120313	299133509	13197	1602	12.14%	10k10k
CM051459.1	116615928	116625931	10004	1214	12.14%	10k10k
CM051459.1	343414423	343452274	37852	4592	12.13%	10k10k
CM051459.1	158869247	158884661	15415	1866	12.11%	10k10k
CM051459.1	56898063	56910628	12566	1521	12.1%	10k10k
CM051459.1	69313175	69324353	11179	1352	12.09%	10k10k
CM051459.1	246122757	246133249	10493	1269	12.09%	10k10k
CM051459.1	235639809	235651014	11206	1355	12.09%	10k10k
CM051459.1	55666798	55685708	18911	2286	12.09%	10k10k
CM051459.1	98974336	98994604	20269	2450	12.09%	10k10k
CM051459.1	283870784	283883099	12316	1487	12.07%	10k10k
CM051459.1	1437488	1452811	15324	1849	12.07%	10k10k
CM051459.1	119776185	119923200	147016	17725	12.06%	10k10k
CM051459.1	115161302	115171754	10453	1260	12.05%	10k10k
CM051459.1	179509657	179567040	57384	6913	12.05%	10k10k
CM051459.1	356147825	356170090	22266	2681	12.04%	10k10k
CM051459.1	327585403	327596615	11213	1348	12.02%	10k10k
CM051459.1	135733763	135757800	24038	2886	12.01%	10k10k
CM051459.1	3844961	3861576	16616	1988	11.96%	10k10k
CM051459.1	202513169	202535046	21878	2615	11.95%	10k10k
CM051459.1	69266596	69278957	12362	1475	11.93%	10k10k
CM051459.1	78640443	78661143	20701	2470	11.93%	10k10k
CM051459.1	364115722	364128061	12340	1466	11.88%	10k10k
CM051459.1	308998005	309165701	167697	19921	11.88%	10k10k
CM051459.1	64814622	64825267	10646	1263	11.86%	10k10k
CM051459.1	214729323	214745920	16598	1967	11.85%	10k10k
CM051459.1	225498387	225518850	20464	2425	11.85%	10k10k
CM051459.1	296978913	297005775	26863	3179	11.83%	10k10k
CM051459.1	235570285	235590284	20000	2365	11.82%	10k10k
CM051459.1	345187644	345206307	18664	2206	11.82%	10k10k
CM051459.1	274948867	274959173	10307	1217	11.81%	10k10k
CM051459.1	190809469	190828723	19255	2273	11.8%	10k10k
CM051459.1	5207340	5224896	17557	2072	11.8%	10k10k
CM051459.1	4762231	4782141	19911	2347	11.79%	10k10k
CM051459.1	295532664	295549705	17042	2005	11.77%	10k10k
CM051459.1	114687767	114708502	20736	2439	11.76%	10k10k
CM051459.1	219242064	219260582	18519	2178	11.76%	10k10k
CM051459.1	320397801	320410224	12424	1461	11.76%	10k10k
CM051459.1	193918520	193942714	24195	2845	11.76%	10k10k
CM051459.1	80487282	80499810	12529	1473	11.76%	10k10k
CM051459.1	237385027	237398646	13620	1599	11.74%	10k10k
CM051459.1	132996988	133007047	10060	1181	11.74%	10k10k
CM051459.1	28910881	29112060	201180	23616	11.74%	10k10k
CM051459.1	311942352	311956683	14332	1682	11.74%	10k10k
CM051459.1	30413272	30438381	25110	2945	11.73%	10k10k
CM051459.1	107627167	107642172	15006	1759	11.72%	10k10k
CM051459.1	212863949	212878638	14690	1719	11.7%	10k10k
CM051459.1	157153035	157168789	15755	1843	11.7%	10k10k
CM051459.1	30631399	30641446	10048	1175	11.69%	10k10k
CM051459.1	81165090	81175169	10080	1178	11.69%	10k10k
CM051459.1	49518232	49530088	11857	1385	11.68%	10k10k
CM051459.1	309618455	309630193	11739	1369	11.66%	10k10k
CM051459.1	38355277	38367576	12300	1433	11.65%	10k10k
CM051459.1	240668363	240708755	40393	4706	11.65%	10k10k
CM051459.1	211705116	211724835	19720	2295	11.64%	10k10k
CM051459.1	38505458	38526100	20643	2402	11.64%	10k10k
CM051459.1	1052856	1063363	10508	1222	11.63%	10k10k
CM051459.1	374904268	374919577	15310	1779	11.62%	10k10k
CM051459.1	80602627	80614075	11449	1330	11.62%	10k10k
CM051459.1	144855474	144896271	40798	4733	11.6%	10k10k
CM051459.1	205472941	205496978	24038	2781	11.57%	10k10k
CM051459.1	114724498	114858947	134450	15542	11.56%	10k10k
CM051459.1	84116449	84127852	11404	1315	11.53%	10k10k
CM051459.1	156223743	156237111	13369	1541	11.53%	10k10k
CM051459.1	121595237	121607844	12608	1453	11.52%	10k10k
CM051459.1	197968382	197980399	12018	1384	11.52%	10k10k
CM051459.1	171267846	171301614	33769	3889	11.52%	10k10k
CM051459.1	64522400	64575931	53532	6162	11.51%	10k10k
CM051459.1	260997326	261013158	15833	1822	11.51%	10k10k
CM051459.1	115182836	115202322	19487	2240	11.49%	10k10k
CM051459.1	143658839	143677795	18957	2179	11.49%	10k10k
CM051459.1	127190715	127206436	15722	1807	11.49%	10k10k
CM051459.1	242124127	242143478	19352	2223	11.49%	10k10k
CM051459.1	74292179	74302309	10131	1163	11.48%	10k10k
CM051459.1	306635447	306669537	34091	3907	11.46%	10k10k
CM051459.1	120193133	120213388	20256	2321	11.46%	10k10k
CM051459.1	319464740	319506270	41531	4755	11.45%	10k10k
CM051459.1	302114864	302126157	11294	1291	11.43%	10k10k
CM051459.1	338521348	338535139	13792	1574	11.41%	10k10k
CM051459.1	209837640	209850882	13243	1510	11.4%	10k10k
CM051459.1	334133652	334147571	13920	1584	11.38%	10k10k
CM051459.1	183243969	183255281	11313	1287	11.38%	10k10k
CM051459.1	317505161	317545341	40181	4569	11.37%	10k10k
CM051459.1	223130123	223140887	10765	1224	11.37%	10k10k
CM051459.1	31256126	31274778	18653	2119	11.36%	10k10k
CM051459.1	4605097	4626908	21812	2477	11.36%	10k10k
CM051459.1	14922380	14947407	25028	2841	11.35%	10k10k
CM051459.1	233806137	233834935	28799	3268	11.35%	10k10k
CM051459.1	36189554	36204936	15383	1745	11.34%	10k10k
CM051459.1	193459866	193477888	18023	2044	11.34%	10k10k
CM051459.1	6608167	6620943	12777	1449	11.34%	10k10k
CM051459.1	218773626	218897024	123399	13991	11.34%	10k10k
CM051459.1	246148413	246169504	21092	2390	11.33%	10k10k
CM051459.1	262668944	262696160	27217	3084	11.33%	10k10k
CM051459.1	247042326	247058598	16273	1841	11.31%	10k10k
CM051459.1	165535345	165547417	12073	1364	11.3%	10k10k
CM051459.1	253490038	253512999	22962	2590	11.28%	10k10k
CM051459.1	91388715	91406473	17759	2002	11.27%	10k10k
CM051459.1	183554269	183571258	16990	1914	11.27%	10k10k
CM051459.1	349850384	349861676	11293	1272	11.26%	10k10k
CM051459.1	151967025	151993300	26276	2959	11.26%	10k10k
CM051459.1	222502414	222520702	18289	2059	11.26%	10k10k
CM051459.1	212432668	212457367	24700	2778	11.25%	10k10k
CM051459.1	353055857	353067785	11929	1341	11.24%	10k10k
CM051459.1	82958762	82974930	16169	1816	11.23%	10k10k
CM051459.1	221402785	221412971	10187	1144	11.23%	10k10k
CM051459.1	55344932	55355018	10087	1132	11.22%	10k10k
CM051459.1	349900182	349917647	17466	1960	11.22%	10k10k
CM051459.1	187780017	187810425	30409	3412	11.22%	10k10k
CM051459.1	309853718	309876498	22781	2555	11.22%	10k10k
CM051459.1	12165474	12178263	12790	1434	11.21%	10k10k
CM051459.1	54648241	54662908	14668	1643	11.2%	10k10k
CM051459.1	188406744	188417487	10744	1203	11.2%	10k10k
CM051459.1	212980116	212995604	15489	1734	11.2%	10k10k
CM051459.1	11096613	11112868	16256	1816	11.17%	10k10k
CM051459.1	263593679	263605195	11517	1285	11.16%	10k10k
CM051459.1	32554818	32567599	12782	1425	11.15%	10k10k
CM051459.1	162451868	162472923	21056	2347	11.15%	10k10k
CM051459.1	310613093	310660154	47062	5243	11.14%	10k10k
CM051459.1	369967073	370022871	55799	6215	11.14%	10k10k
CM051459.1	113522857	113541320	18464	2056	11.14%	10k10k
CM051459.1	202639422	202650092	10671	1188	11.13%	10k10k
CM051459.1	347825140	347839075	13936	1550	11.12%	10k10k
CM051459.1	324959165	324979764	20600	2289	11.11%	10k10k
CM051459.1	89618790	89631404	12615	1399	11.09%	10k10k
CM051459.1	363801144	363813631	12488	1384	11.08%	10k10k
CM051459.1	33883483	33900256	16774	1859	11.08%	10k10k
CM051459.1	66608625	66637154	28530	3160	11.08%	10k10k
CM051459.1	291259330	291272458	13129	1454	11.07%	10k10k
CM051459.1	274738087	274757605	19519	2161	11.07%	10k10k
CM051459.1	4165425	4177197	11773	1303	11.07%	10k10k
CM051459.1	374769228	374796741	27514	3045	11.07%	10k10k
CM051459.1	189933998	189966782	32785	3627	11.06%	10k10k
CM051459.1	137161177	137181000	19824	2193	11.06%	10k10k
CM051459.1	138498588	138515721	17134	1894	11.05%	10k10k
CM051459.1	314790060	314807148	17089	1887	11.04%	10k10k
CM051459.1	298166826	298186614	19789	2185	11.04%	10k10k
CM051459.1	334696202	334706584	10383	1146	11.04%	10k10k
CM051459.1	333931293	333958763	27471	3023	11.0%	10k10k
CM051459.1	128774609	128793588	18980	2088	11.0%	10k10k
CM051459.1	275319456	275340628	21173	2329	11.0%	10k10k
CM051459.1	118437359	118459805	22447	2469	11.0%	10k10k
CM051459.1	18611683	18624917	13235	1455	10.99%	10k10k
CM051459.1	62078984	62104268	25285	2779	10.99%	10k10k
CM051459.1	52846440	52859220	12781	1403	10.98%	10k10k
CM051459.1	49870671	49885036	14366	1577	10.98%	10k10k
CM051459.1	76017819	76054079	36261	3980	10.98%	10k10k
CM051459.1	140929130	140940760	11631	1275	10.96%	10k10k
CM051459.1	276354842	276365030	10189	1115	10.94%	10k10k
CM051459.1	112429993	112448781	18789	2052	10.92%	10k10k
CM051459.1	76889291	76916179	26889	2936	10.92%	10k10k
CM051459.1	159287487	159298404	10918	1192	10.92%	10k10k
CM051459.1	345069594	345087010	17417	1899	10.9%	10k10k
CM051459.1	189435439	189471675	36237	3950	10.9%	10k10k
CM051459.1	146637205	146650663	13459	1465	10.88%	10k10k
CM051459.1	105669401	105689646	20246	2201	10.87%	10k10k
CM051459.1	279747351	279771571	24221	2633	10.87%	10k10k
CM051459.1	298619134	298629459	10326	1122	10.87%	10k10k
CM051459.1	345596376	345616224	19849	2155	10.86%	10k10k
CM051459.1	285002505	285019954	17450	1894	10.85%	10k10k
CM051459.1	161606772	161624046	17275	1875	10.85%	10k10k
CM051459.1	274196670	274210291	13622	1478	10.85%	10k10k
CM051459.1	232568533	232591657	23125	2509	10.85%	10k10k
CM051459.1	294653437	294674375	20939	2271	10.85%	10k10k
CM051459.1	251820474	251854042	33569	3639	10.84%	10k10k
CM051459.1	66753105	66763736	10632	1152	10.84%	10k10k
CM051459.1	140701938	140713645	11708	1268	10.83%	10k10k
CM051459.1	348417627	348432228	14602	1581	10.83%	10k10k
CM051459.1	76928982	76947543	18562	2009	10.82%	10k10k
CM051459.1	126243939	126265919	21981	2378	10.82%	10k10k
CM051459.1	76285945	76352500	66556	7197	10.81%	10k10k
CM051459.1	75006862	75027525	20664	2233	10.81%	10k10k
CM051459.1	51580266	51591898	11633	1254	10.78%	10k10k
CM051459.1	309301237	309311439	10203	1098	10.76%	10k10k
CM051459.1	38002546	38019854	17309	1860	10.75%	10k10k
CM051459.1	238632504	238652058	19555	2100	10.74%	10k10k
CM051459.1	248838520	248859549	21030	2254	10.72%	10k10k
CM051459.1	12189774	12211067	21294	2282	10.72%	10k10k
CM051459.1	2855146	2869234	14089	1508	10.7%	10k10k
CM051459.1	207182940	207202729	19790	2117	10.7%	10k10k
CM051459.1	48388822	48403359	14538	1554	10.69%	10k10k
CM051459.1	121441279	121457028	15750	1683	10.69%	10k10k
CM051459.1	223154689	223165810	11122	1188	10.68%	10k10k
CM051459.1	22399386	22413999	14614	1559	10.67%	10k10k
CM051459.1	70355829	70472847	117019	12465	10.65%	10k10k
CM051459.1	371967702	372005326	37625	4006	10.65%	10k10k
CM051459.1	262408843	262421301	12459	1326	10.64%	10k10k
CM051459.1	302181299	302215633	34335	3652	10.64%	10k10k
CM051459.1	218467119	218496405	29287	3110	10.62%	10k10k
CM051459.1	166533314	166558660	25347	2691	10.62%	10k10k
CM051459.1	4245654	4274350	28697	3041	10.6%	10k10k
CM051459.1	129134249	129151411	17163	1816	10.58%	10k10k
CM051459.1	108242353	108268155	25803	2725	10.56%	10k10k
CM051459.1	290582345	290598042	15698	1656	10.55%	10k10k
CM051459.1	235817839	235838081	20243	2135	10.55%	10k10k
CM051459.1	174865919	174893023	27105	2855	10.53%	10k10k
CM051459.1	109421989	109436874	14886	1567	10.53%	10k10k
CM051459.1	129051791	129065158	13368	1407	10.53%	10k10k
CM051459.1	59439439	59456207	16769	1764	10.52%	10k10k
CM051459.1	194645269	194662921	17653	1854	10.5%	10k10k
CM051459.1	106489438	106504733	15296	1606	10.5%	10k10k
CM051459.1	310031539	310051692	20154	2116	10.5%	10k10k
CM051459.1	218724307	218746015	21709	2279	10.5%	10k10k
CM051459.1	91702320	91717435	15116	1586	10.49%	10k10k
CM051459.1	297485600	297519169	33570	3519	10.48%	10k10k
CM051459.1	229658210	229673855	15646	1638	10.47%	10k10k
CM051459.1	357272601	357291116	18516	1932	10.43%	10k10k
CM051459.1	353248649	353259948	11300	1179	10.43%	10k10k
CM051459.1	21749219	21762981	13763	1436	10.43%	10k10k
CM051459.1	148634874	148684121	49248	5137	10.43%	10k10k
CM051459.1	373439009	373453630	14622	1524	10.42%	10k10k
CM051459.1	218591648	218622098	30451	3173	10.42%	10k10k
CM051459.1	12702164	12716549	14386	1498	10.41%	10k10k
CM051459.1	197832129	197859235	27107	2820	10.4%	10k10k
CM051459.1	112387882	112406839	18958	1972	10.4%	10k10k
CM051459.1	265227342	265243925	16584	1723	10.39%	10k10k
CM051459.1	250407692	250420063	12372	1285	10.39%	10k10k
CM051459.1	269722144	269735598	13455	1397	10.38%	10k10k
CM051459.1	170950178	170968188	18011	1869	10.38%	10k10k
CM051459.1	241074160	241115208	41049	4255	10.37%	10k10k
CM051459.1	348587560	348599146	11587	1200	10.36%	10k10k
CM051459.1	194010362	194160941	150580	15589	10.35%	10k10k
CM051459.1	83627870	83645443	17574	1819	10.35%	10k10k
CM051459.1	140585667	140596325	10659	1103	10.35%	10k10k
CM051459.1	299648280	299679939	31660	3272	10.33%	10k10k
CM051459.1	351454718	351470212	15495	1601	10.33%	10k10k
CM051459.1	318524525	318548083	23559	2434	10.33%	10k10k
CM051459.1	243066579	243090473	23895	2467	10.32%	10k10k
CM051459.1	326123644	326140515	16872	1740	10.31%	10k10k
CM051459.1	115274618	115296571	21954	2261	10.3%	10k10k
CM051459.1	23055629	23079095	23467	2416	10.3%	10k10k
CM051459.1	254932114	254955136	23023	2368	10.29%	10k10k
CM051459.1	24275388	24286835	11448	1177	10.28%	10k10k
CM051459.1	47949275	47969045	19771	2031	10.27%	10k10k
CM051459.1	246729903	246751437	21535	2212	10.27%	10k10k
CM051459.1	249064956	249075558	10603	1089	10.27%	10k10k
CM051459.1	306296212	306312031	15820	1623	10.26%	10k10k
CM051459.1	122469365	122479544	10180	1044	10.26%	10k10k
CM051459.1	310405857	310449803	43947	4507	10.26%	10k10k
CM051459.1	291779437	291802530	23094	2368	10.25%	10k10k
CM051459.1	297143736	297154013	10278	1053	10.25%	10k10k
CM051459.1	146250414	146265807	15394	1575	10.23%	10k10k
CM051459.1	89645438	89662515	17078	1747	10.23%	10k10k
CM051459.1	100134602	100145733	11132	1137	10.21%	10k10k
CM051459.1	195099815	195125700	25886	2644	10.21%	10k10k
CM051459.1	195183999	195210183	26185	2674	10.21%	10k10k
CM051459.1	198036308	198052660	16353	1665	10.18%	10k10k
CM051459.1	180877926	180903269	25344	2580	10.18%	10k10k
CM051459.1	240214985	240251223	36239	3684	10.17%	10k10k
CM051459.1	330959960	330974911	14952	1518	10.15%	10k10k
CM051459.1	275356091	275369622	13532	1373	10.15%	10k10k
CM051459.1	179063821	179080083	16263	1650	10.15%	10k10k
CM051459.1	32502891	32513637	10747	1090	10.14%	10k10k
CM051459.1	107801122	107816503	15382	1558	10.13%	10k10k
CM051459.1	84632118	84643718	11601	1175	10.13%	10k10k
CM051459.1	331226424	331254913	28490	2882	10.12%	10k10k
CM051459.1	147348517	147359354	10838	1096	10.11%	10k10k
CM051459.1	311163906	311210173	46268	4674	10.1%	10k10k
CM051459.1	303011500	303035186	23687	2392	10.1%	10k10k
CM051459.1	312183085	312204466	21382	2159	10.1%	10k10k
CM051459.1	367703734	367714183	10450	1055	10.1%	10k10k
CM051459.1	35883507	35895237	11731	1183	10.08%	10k10k
CM051459.1	93531076	93548254	17179	1732	10.08%	10k10k
CM051459.1	167066006	167077326	11321	1141	10.08%	10k10k
CM051459.1	107260020	107285061	25042	2524	10.08%	10k10k
CM051459.1	271426717	271437125	10409	1049	10.08%	10k10k
CM051459.1	303815607	303835563	19957	2011	10.08%	10k10k
CM051459.1	367114983	367127481	12499	1259	10.07%	10k10k
CM051459.1	170712123	170730325	18203	1833	10.07%	10k10k
CM051459.1	110974693	110988080	13388	1347	10.06%	10k10k
CM051459.1	151521273	151536701	15429	1552	10.06%	10k10k
CM051459.1	56020336	56034275	13940	1402	10.06%	10k10k
CM051459.1	144962199	144972921	10723	1078	10.05%	10k10k
CM051459.1	310514812	310551944	37133	3730	10.04%	10k10k
CM051459.1	248208819	248224429	15611	1567	10.04%	10k10k
CM051459.1	284440785	284451173	10389	1042	10.03%	10k10k
CM051459.1	115224669	115247409	22741	2281	10.03%	10k10k
CM051459.1	258583714	258601886	18173	1822	10.03%	10k10k
CM051459.1	99410439	99422669	12231	1226	10.02%	10k10k
CM051459.1	157502730	157542662	39933	4002	10.02%	10k10k
CM051459.1	178969258	178981413	12156	1218	10.02%	10k10k
CM051459.1	228077244	228103404	26161	2621	10.02%	10k10k
CM051459.1	239340222	239412248	72027	7206	10.0%	10k10k
CM051459.1	343210258	343232291	22034	2204	10.0%	10k10k
CM051459.1	256381269	256391789	10521	1052	10.0%	10k10k
CM051459.1	354418141	354460582	42442	4243	10.0%	10k10k
CM051459.1	158906601	158932421	25821	2580	9.99%	10k10k
CM051459.1	289666240	289677422	11183	1117	9.99%	10k10k
CM051459.1	46339695	46351105	11411	1138	9.97%	10k10k
CM051459.1	59993192	60006822	13631	1359	9.97%	10k10k
CM051459.1	358035621	358046444	10824	1079	9.97%	10k10k
CM051459.1	261420880	261430892	10013	998	9.97%	10k10k
CM051459.1	124027887	124042655	14769	1472	9.97%	10k10k
CM051459.1	109711811	109746402	34592	3445	9.96%	10k10k
CM051459.1	268863047	268893396	30350	3020	9.95%	10k10k
CM051459.1	107837388	107855504	18117	1802	9.95%	10k10k
CM051459.1	287899143	287916890	17748	1764	9.94%	10k10k
CM051459.1	195574618	195614695	40078	3973	9.91%	10k10k
CM051459.1	321058140	321070944	12805	1269	9.91%	10k10k
CM051459.1	368269833	368307116	37284	3695	9.91%	10k10k
CM051459.1	163133644	163144393	10750	1065	9.91%	10k10k
CM051459.1	251158121	251170092	11972	1186	9.91%	10k10k
CM051459.1	363038783	363061424	22642	2242	9.9%	10k10k
CM051459.1	127687668	127699993	12326	1220	9.9%	10k10k
CM051459.1	43891172	43912237	21066	2085	9.9%	10k10k
CM051459.1	88770340	88800822	30483	3016	9.89%	10k10k
CM051459.1	193221410	193234015	12606	1247	9.89%	10k10k
CM051459.1	173542065	173568703	26639	2635	9.89%	10k10k
CM051459.1	11827789	11845669	17881	1767	9.88%	10k10k
CM051459.1	56177948	56188028	10081	996	9.88%	10k10k
CM051459.1	200458174	200468671	10498	1037	9.88%	10k10k
CM051459.1	303571382	303584258	12877	1272	9.88%	10k10k
CM051459.1	39241506	39252244	10739	1060	9.87%	10k10k
CM051459.1	20586608	20603140	16533	1631	9.87%	10k10k
CM051459.1	230003270	230016237	12968	1278	9.86%	10k10k
CM051459.1	318350193	318387032	36840	3630	9.85%	10k10k
CM051459.1	106277787	106291111	13325	1312	9.85%	10k10k
CM051459.1	341639727	341660420	20694	2036	9.84%	10k10k
CM051459.1	217294042	217310542	16501	1623	9.84%	10k10k
CM051459.1	9215266	9245958	30693	3018	9.83%	10k10k
CM051459.1	21093701	21109960	16260	1597	9.82%	10k10k
CM051459.1	89200861	89225029	24169	2372	9.81%	10k10k
CM051459.1	229435599	229553245	117647	11546	9.81%	10k10k
CM051459.1	116000698	116013989	13292	1304	9.81%	10k10k
CM051459.1	247502854	247519606	16753	1643	9.81%	10k10k
CM051459.1	248794400	248815350	20951	2053	9.8%	10k10k
CM051459.1	137979778	138010757	30980	3035	9.8%	10k10k
CM051459.1	235345261	235360042	14782	1448	9.8%	10k10k
CM051459.1	200645151	200685837	40687	3985	9.79%	10k10k
CM051459.1	294787076	294803079	16004	1564	9.77%	10k10k
CM051459.1	245424756	245434783	10028	979	9.76%	10k10k
CM051459.1	107478731	107496140	17410	1699	9.76%	10k10k
CM051459.1	375186242	375218752	32511	3171	9.75%	10k10k
CM051459.1	282380693	282401644	20952	2040	9.74%	10k10k
CM051459.1	305296581	305333902	37322	3632	9.73%	10k10k
CM051459.1	5585966	5614807	28842	2805	9.73%	10k10k
CM051459.1	3045413	3078028	32616	3171	9.72%	10k10k
CM051459.1	318125934	318160413	34480	3352	9.72%	10k10k
CM051459.1	333747058	333758964	11907	1157	9.72%	10k10k
CM051459.1	198283197	198317686	34490	3351	9.72%	10k10k
CM051459.1	354262584	354277026	14443	1401	9.7%	10k10k
CM051459.1	249679417	249731866	52450	5088	9.7%	10k10k
CM051459.1	102785352	102806694	21343	2070	9.7%	10k10k
CM051459.1	166436207	166448613	12407	1203	9.7%	10k10k
CM051459.1	141919738	141934459	14722	1427	9.69%	10k10k
CM051459.1	283078557	283092736	14180	1374	9.69%	10k10k
CM051459.1	67546234	67565418	19185	1859	9.69%	10k10k
CM051459.1	110174055	110191072	17018	1648	9.68%	10k10k
CM051459.1	301976194	301998933	22740	2200	9.67%	10k10k
CM051459.1	45926911	45938732	11822	1143	9.67%	10k10k
CM051459.1	212920340	212930582	10243	990	9.67%	10k10k
CM051459.1	271557181	271571297	14117	1363	9.66%	10k10k
CM051459.1	207393134	207408842	15709	1515	9.64%	10k10k
CM051459.1	17467751	17485962	18212	1756	9.64%	10k10k
CM051459.1	238978895	238989349	10455	1008	9.64%	10k10k
CM051459.1	171419439	171444126	24688	2380	9.64%	10k10k
CM051459.1	89318018	89345330	27313	2632	9.64%	10k10k
CM051459.1	358208930	358231656	22727	2190	9.64%	10k10k
CM051459.1	119637074	119659977	22904	2207	9.64%	10k10k
CM051459.1	7235754	7279196	43443	4185	9.63%	10k10k
CM051459.1	358825417	358879826	54410	5237	9.63%	10k10k
CM051459.1	100474807	100495224	20418	1965	9.62%	10k10k
CM051459.1	318628593	318677442	48850	4701	9.62%	10k10k
CM051459.1	74927366	74937831	10466	1006	9.61%	10k10k
CM051459.1	83922504	83936294	13791	1323	9.59%	10k10k
CM051459.1	89520303	89536080	15778	1513	9.59%	10k10k
CM051459.1	349235407	349250081	14675	1407	9.59%	10k10k
CM051459.1	86098539	86116732	18194	1744	9.59%	10k10k
CM051459.1	65962134	65975086	12953	1241	9.58%	10k10k
CM051459.1	25266504	25293410	26907	2578	9.58%	10k10k
CM051459.1	40076013	40092200	16188	1550	9.57%	10k10k
CM051459.1	11275747	11376744	100998	9665	9.57%	10k10k
CM051459.1	369816002	369830936	14935	1429	9.57%	10k10k
CM051459.1	319147841	319197789	49949	4778	9.57%	10k10k
CM051459.1	304008874	304035396	26523	2537	9.57%	10k10k
CM051459.1	169999838	170012908	13071	1250	9.56%	10k10k
CM051459.1	156162065	156175417	13353	1276	9.56%	10k10k
CM051459.1	136772508	136783035	10528	1006	9.56%	10k10k
CM051459.1	357881867	357901449	19583	1869	9.54%	10k10k
CM051459.1	146892084	146905715	13632	1301	9.54%	10k10k
CM051459.1	168180742	168192163	11422	1090	9.54%	10k10k
CM051459.1	226614081	226639387	25307	2414	9.54%	10k10k
